State,Date,Time,Cumulative case count,Cumulative deaths,Tests conducted (negative),Tests conducted (total),Hospitalisations (count),Intensive care (count),Ventilator usage (count),Recovered (cumulative),Update Source,Notes
QLD,26/09/2020,12:22,1156,,,,,,,1141,media release,
VIC,26/09/2020,17:11,20129,782,,2651309,53,9,0,18842,media release,
WA,26/09/2020,19:42,669,,,410171,,,,650,media release,
NSW,27/09/2020,20:00,4029,,,2678745,63,3,0,,media release,
QLD,27/09/2020,11:46,1157,,,,,,,1141,media release,
VIC,27/09/2020,14:42,20145,784,,2661989,51,9,,18901,media release,
WA,27/09/2020,13:26,676,,,410171,,,,651,media release,
NSW,28/09/2020,20:00,4031,,,2685126,55,3,0,,media release,
VIC,28/09/2020,08:36,20149,787,,2668796,49,8,,18942,DHHS Twitter,
WA,28/09/2020,14:06,676,,,410171,,,,653,media release,
NSW,29/09/2020,20:00,4035,,,2698701,50,3,,,media release,
VIC,29/09/2020,09:00,20158,794,,2677022,46,5,0,18978,media release,
WA,29/09/2020,17:30,684,,,413446,,,,,media release,
NSW,30/09/2020,20:00,4038,,,2711773,50,3,0,,media release,
VIC,30/09/2020,08:30,20171,798,,,,,,,media release,
WA,30/09/2020,16:19,684,,,418773,,,,653,media release,
NSW,01/10/2020,20:00,4042,,,2723116,48,2,0,,media release,
VIC,01/10/2020,09:00,20183,800,,2709668,38,6,,,media release,
WA,01/10/2020,14:00,685,,,422862,0,0,0,654,media release,
NSW,02/10/2020,20:00,4043,,,2733450,,,,,,
VIC,02/10/2020,09:00,20191,802,,2722218,38,4,,,media release,
NSW,03/10/2020,20:00,4045,,,2741755,51,3,,,media release,
VIC,03/10/2020,13:00,20197,805,,2733499,34,4,,19091,media release,
WA,03/10/2020,13:30,686,,,425925,,,,657,media release,
NSW,04/10/2020,20:00,4046,,,2746544,52,3,0,,media release,
VIC,04/10/2020,08:50,20209,806,,2745493,31,3,,19102,DHHS Twitter,
WA,04/10/2020,14:14,686,,,,,,,660,media release,
NSW,05/10/2020,20:00,4057,,,2751929,50,3,0,,media release,
VIC,05/10/2020,14:26,20220,,,2754516,30,3,,19126,media release,
WA,05/10/2020,15:42,687,,,430897,,,,,media release,
NSW,06/10/2020,20:00,4060,,,2757899,54,3,,,media release,
QLD,06/10/2020,12:00,1160,,,1133933,6,1,,1148,media release,
SA,06/10/2020,17:00,472,,,483000,0,0,0,465,media release,
VIC,06/10/2020,16:00,20233,807,,2763802,21,1,,19149,media release,
ACT,07/10/2020,16:15,113,,,,0,,,110,media release,
NSW,07/10/2020,20:00,4072,,,2770397,51,1,,,media release,
VIC,07/10/2020,10:00,20237,809,,2780231,16,2,,19162,media release,
WA,07/10/2020,14:30,688,,,437264,0,0,0,670,media release,
ACT,08/10/2020,13:33,113,,97181,,,,,110,media release,
NSW,08/10/2020,20:00,4082,,,2783265,52,2,,,media release,
VIC,08/10/2020,08:31,20247,,,2795529,17,1,,19174,media release,
WA,08/10/2020,13:40,690,,,439993,,,,670,media release,
NSW,09/10/2020,20:00,4084,,,2798704,56,1,,,media release,
SA,09/10/2020,18:00,473,,,492500,,,,466,media release,
VIC,09/10/2020,15:00,20257,,,2811114,17,1,,19192,media release,
WA,09/10/2020,17:29,692,,,442299,0,0,0,670,media release,
NSW,10/10/2020,20:00,4088,,,2811527,,,,,media release,
VIC,10/10/2020,15:00,20269,,,2827761,21,1,,19207,media release,
ACT,11/10/2020,12:56,113,,98345,,0,0,,110,media release,
NSW,11/10/2020,20:00,4094,,,2818918,54,1,0,,media release,
SA,11/10/2020,17:00,475,,,497000,0,0,0,466,media release,
VIC,11/10/2020,15:36,20281,810,,2840686,21,0,0,19218,media release,
WA,11/10/2020,15:08,694,,,442299,,,,670,media release,
NSW,12/10/2020,20:00,4106,,,2827527,59,1,,,media release,
QLD,12/10/2020,12:00,1161,,,1159560,3,0,,,media release,
VIC,12/10/2020,08:40,20295,,,2850794,21,0,0,19229,media release,
WA,12/10/2020,17:00,696,,,447449,0,0,0,671,media release,
ACT,13/10/2020,13:35,113,,99331,,0,0,0,110,media release,
NSW,13/10/2020,20:00,4121,,,2843545,62,1,0,,media release,
SA,13/10/2020,16:00,476,,,502101,0,0,0,468,media release,
VIC,13/10/2020,08:57,20305,811,,2858995,23,0,0,19243,media release,
WA,13/10/2020,15:30,703,,,449527,0,0,0,676,media release,
ACT,14/10/2020,17:18,113,,99760,,0,0,0,,media release,
NSW,14/10/2020,20:00,4132,,,2859347,69,1,0,,media release,
SA,14/10/2020,18:00,479,,,504500,0,0,0,469,media release,
VIC,14/10/2020,09:00,20311,816,,,,,,,media release,
WA,14/10/2020,16:01,704,,,545044,,,,676,media release,
NSW,15/10/2020,20:00,4137,,,2875738,71,1,,,media release,
QLD,15/10/2020,12:00,1162,,,1174703,1,0,0,1154,media release,
QLD,15/10/2020,14:00,1164,,,1179441,2,0,0,1194,media release,
VIC,15/10/2020,16:00,20315,,,2890495,21,0,0,19259,media release,
WA,15/10/2020,15:30,709,,,456375,0,0,0,676,media release,
NSW,16/10/2020,20:00,4144,,,2890116,68,0,0,,media release,
VIC,16/10/2020,16:30,20317,,,2906876,14,0,0,19279,media release,
NSW,17/10/2020,20:00,4149,,,2903101,73,1,0,,media release,
SA,17/10/2020,17:00,482,,,513500,0,0,0,472,media release,
VIC,17/10/2020,15:00,20317,,,2925810,13,0,,19287,media release,
WA,17/10/2020,17:30,711,,,458327,,,,683,media release,
NSW,18/10/2020,20:00,4153,,,2910053,69,1,0,,media release,
VIC,18/10/2020,15:49,20315,,,2944356,12,0,,19295,media release,
WA,18/10/2020,15:25,714,,,458327,,,,,media release,
NSW,19/10/2020,20:00,4158,,,2917454,64,1,0,,media release,
SA,19/10/2020,17:00,484,,,517500,0,0,0,472,media release,
VIC,19/10/2020,08:37,20319,817,,2955149,12,0,0,19299,media release,
NSW,20/10/2020,20:00,4167,,,2932386,72,1,0,,media release,
VIC,20/10/2020,15:30,20320,,,2967085,11,0,0,19313,media release,
NSW,21/10/2020,20:00,4174,,,2947715,75,0,0,,media release,
VIC,21/10/2020,17:04,20323,,,2984494,10,0,0,19329,media release,
WA,21/10/2020,16:51,739,,,469045,0,0,0,690,media release,
NSW,22/10/2020,20:00,4181,,,2961401,80,0,0,,media release,
VIC,22/10/2020,15:26,20329,,,3002936,9,0,0,19340,media release,
WA,22/10/2020,16:52,747,,,469045,,,,690,media release,
NSW,23/10/2020,20:00,4186,,,2974291,74,0,0,,media release,
QLD,23/10/2020,12:00,1167,,,1207967,4,0,0,1155,media release,
SA,23/10/2020,17:00,487,,,528500,0,0,0,473,media release,
VIC,23/10/2020,16:00,20330,,,3022364,8,0,0,19346,media release,
WA,23/10/2020,17:00,753,,,473120,0,0,0,692,media release,
NSW,24/10/2020,20:00,4193,,,2986756,77,0,0,,media release,
VIC,24/10/2020,16:30,20336,,,3039583,8,0,0,19354,media release,
WA,24/10/2020,15:00,757,,,,0,0,0,692,media release,
NSW,25/10/2020,20:00,4197,,,2994203,80,0,0,,media release,
VIC,25/10/2020,16:53,20343,,,3052477,7,0,0,19359,media release,
WA,25/10/2020,17:00,760,,,,0,0,0,694,media release,
ACT,26/10/2020,12:25,114,,,,0,0,0,110,media release,
NSW,26/10/2020,20:00,4209,,,3000641,77,1,0,,media release,
VIC,26/10/2020,08:19,20343,,,,,,,,DHHS Twitter,
VIC,26/10/2020,16:37,20341,,,3066501,7,0,0,19366,media release,
WA,26/10/2020,14:06,762,,,478376,,,,700,media release,
NSW,27/10/2020,20:00,4217,,,3015023,77,1,0,,media release,
VIC,27/10/2020,13:39,20341,,,3081980,5,0,,19370,media release,
WA,27/10/2020,14:45,764,,,480530,0,0,0,700,media release,
NSW,28/10/2020,20:00,4222,,,3029253,75,1,,,media release,
QLD,28/10/2020,12:00,1169,,,1224099,3,0,,1157,media release,
VIC,28/10/2020,09:00,20342,819,,3106653,3,0,0,19376,media release,
WA,28/10/2020,14:50,765,,,483274,0,0,0,706,media release,
NSW,29/10/2020,20:00,4228,,,3042039,71,1,1,,media release,
VIC,29/10/2020,15:00,20344,,,3130788,5,0,0,19382,media release,
WA,29/10/2020,17:47,766,,,486041,0,0,0,708,media release,
ACT,30/10/2020,11:29,114,,106601,,0,0,0,111,media release,
NSW,30/10/2020,20:00,4232,,,3055173,73,1,1,,media release,
VIC,30/10/2020,14:30,20347,,,3154371,5,0,0,19381,media release,
WA,30/10/2020,18:13,767,,,,,,,712,media release,
VIC,31/10/2020,14:00,20347,,,3174221,2,0,0,19457,media release,
WA,31/10/2020,17:00,768,,,487990,0,0,0,715,media release,
NSW,01/11/2020,20:00,4243,,,3077355,76,1,0,,media release,
VIC,01/11/2020,12:00,20346,,,3190219,2,0,0,19466,media release,
WA,01/11/2020,13:05,769,,,487990,,,,718,media release,
NSW,02/11/2020,20:00,4246,,,3085905,75,1,1,,media release,
VIC,02/11/2020,15:28,20345,,,3203175,2,0,0,19477,media release,
WA,02/11/2020,17:15,770,,,493613,0,0,0,722,media release,
ACT,03/11/2020,12:04,114,,108043,,0,0,0,111,media release,
NSW,03/11/2020,20:00,4254,,,3102941,70,1,1,,media release,
QLD,03/11/2020,13:54,1175,,,1245093,3,0,0,1163,media release,
VIC,03/11/2020,15:00,20345,,,3216016,2,0,0,19488,media release,
WA,03/11/2020,16:25,770,,,495932,,,,738,media release,
ACT,04/11/2020,12:34,114,,108568,,,,,111,media release,
NSW,04/11/2020,20:00,4256,,,3121407,68,1,1,,media release,
QLD,04/11/2020,14:24,1177,,,1250335,8,0,0,1163,media release,
VIC,04/11/2020,14:17,20345,,,3233373,2,0,,19496,media release,
WA,04/11/2020,15:45,771,,,497944,,,,748,media release,
NSW,05/11/2020,20:00,4265,,,3138899,69,1,1,,media release,
VIC,05/11/2020,13:47,20345,,,3246852,2,0,0,19506,media release,
WA,05/11/2020,17:00,775,,,499753,0,0,0,750,media release,
NSW,06/11/2020,20:00,4270,,,3153596,65,1,1,,media release,
VIC,06/11/2020,14:00,20345,,,3265523,2,0,0,19511,media release,
WA,06/11/2020,17:01,776,,,501428,,,,751,media release,
NSW,07/11/2020,20:00,4273,,,3167317,63,1,0,,media release,
VIC,07/11/2020,09:00,20345,,,3282437,2,0,0,19518,media release,
NSW,08/11/2020,20:00,4280,,,3176816,63,1,0,,media release,
SA,08/11/2020,17:00,515,,,572000,0,0,0,492,media release,
VIC,08/11/2020,09:00,20345,,,3299302,2,0,0,19522,media release,
WA,08/11/2020,17:00,776,,,,0,0,0,757,media release,
NSW,09/11/2020,20:00,4285,,,3186874,70,0,0,,media release,
VIC,09/11/2020,12:00,20345,,,3309955,2,0,0,19522,media release,
ACT,10/11/2020,12:54,114,,110964,,0,0,0,111,media release,
NSW,10/11/2020,11:00,4289,,,3207460,71,0,0,,media release,
VIC,10/11/2020,11:30,20345,,,3322910,2,0,0,19522,media release,
WA,10/11/2020,14:14,778,,,508425,,,,757,media release,
ACT,11/11/2020,12:41,114,,111643,,0,0,0,111,media release,
NSW,11/11/2020,20:00,4294,,,3230696,71,0,0,,media release,
SA,11/11/2020,17:00,519,,,579000,0,0,0,498,media release,
VIC,11/11/2020,14:45,20345,,,3342896,2,0,0,19522,media release,
WA,11/11/2020,14:32,780,,,510727,,,,757,media release,
NSW,12/11/2020,20:00,4293,,,3249637,73,0,,,media release,
QLD,12/11/2020,12:00,1182,,,1281637,7,0,0,1164,media release,
VIC,12/11/2020,12:30,20345,,,3363715,2,0,0,19523,media release,
WA,12/11/2020,15:30,783,,,512756,0,0,0,760,media release,
ACT,13/11/2020,10:37,114,,112337,,0,0,0,111,media release,
NSW,13/11/2020,11:03,4297,,,3266821,70,0,0,,media release,
VIC,13/11/2020,12:51,20345,,,3375716,2,0,0,19523,media release,
NSW,14/11/2020,20:00,4306,,,3284047,72,0,,0,media release,
SA,14/11/2020,15:00,522,,,586000,,,,501,media release,
VIC,14/11/2020,14:23,20345,,,3390330,2,0,,19523,media release,
NSW,15/11/2020,20:00,4309,,,3291081,64,0,0,,media release,
QLD,15/11/2020,12:00,1185,,,1292903,8,0,0,1171,media release,
SA,15/11/2020,17:00,526,,,589000,1,0,0,503,media release,
VIC,15/11/2020,14:10,20345,,,3398653,2,0,0,19523,media release,
WA,15/11/2020,13:00,787,,,514223,0,0,0,,media release,
NSW,16/11/2020,20:00,4313,,,3299669,61,0,0,,media release,
SA,16/11/2020,17:00,544,,,590500,2,0,0,506,media release,
VIC,16/11/2020,15:00,20345,,,3405348,2,0,0,19523,media release,
NSW,17/11/2020,20:00,4320,,,3316716,64,0,0,,media release,
QLD,17/11/2020,12:00,1186,,,1298968,8,0,0,1171,media release,
SA,17/11/2020,17:00,549,,,595000,1,0,0,511,media release,
VIC,17/11/2020,16:30,20345,,,3422760,2,0,0,19523,media release,
WA,17/11/2020,16:45,788,,,521971,0,0,0,767,media release,
ACT,18/11/2020,09:30,115,,114955,,0,0,0,111,media release,
NSW,18/11/2020,20:00,4325,,,3336876,64,0,0,,media release,
SA,18/11/2020,18:00,551,,,605086,2,0,0,512,media release,
VIC,18/11/2020,17:08,20345,,,3440114,2,0,0,19523,media release,
WA,18/11/2020,16:59,794,,,525177,,,,767,media release,
ACT,19/11/2020,15:19,115,,115677,,0,,,,media release,
NSW,19/11/2020,20:00,4328,,,3355267,63,0,0,,media release,
VIC,19/11/2020,16:56,20345,,,3457275,2,0,,19523,media release,
WA,19/11/2020,14:40,794,,,527624,,,,,media release,
NSW,20/11/2020,20:00,4338,,,3371596,70,0,0,,media release,
VIC,20/11/2020,17:01,20345,,,3475749,1,1,,,media release,
WA,20/11/2020,16:05,796,,,529780,,,,767,media release,
NSW,21/11/2020,20:00,4349,,,3383608,71,0,0,,media release,
VIC,21/11/2020,17:01,20345,,,,,,,,media release,
NSW,22/11/2020,20:00,4353,,,3391444,78,0,0,,media release,
QLD,22/11/2020,12:00,1193,,,1324189,12,0,0,1171,media release,
SA,22/11/2020,17:00,555,,,,,,,,media release,
VIC,22/11/2020,17:00,20345,,,,,,,,media release,
WA,22/11/2020,17:00,799,,,,,,,772,media release,
NSW,23/11/2020,20:00,4359,,,3398420,82,0,0,,media release,
QLD,23/11/2020,12:00,1196,,,1326061,11,0,0,1172,media release,
VIC,23/11/2020,13:30,20345,,,3504873,1,0,0,19525,media release,
WA,23/11/2020,14:50,804,,,536048,0,0,0,774,media release,
NSW,24/11/2020,20:00,4363,,,3414711,88,0,0,,media release,
QLD,24/11/2020,12:00,1197,,,1331405,15,0,0,1176,media release,
SA,24/11/2020,17:00,557,,,683103,1,0,0,514,media release,
VIC,24/11/2020,15:00,20345,,,3514833,0,0,0,,media release,
WA,24/11/2020,17:00,808,,,539122,,,,774,media release,
ACT,25/11/2020,15:01,115,,118286,,0,0,0,,media release,
NSW,25/11/2020,20:00,4363,,,3429596,81,0,0,,media release,
SA,25/11/2020,,557,,,692506,1,,,515,media release,
VIC,25/11/2020,14:14,20345,,,3531242,,,,,media release,
ACT,26/11/2020,14:27,115,,118705,,0,0,0,112,media release,
NSW,26/11/2020,20:00,4367,,,3444354,75,,,,media release,
VIC,26/11/2020,13:20,20345,,,3544104,,,,,media release,
WA,26/11/2020,14:51,817,,,543961,,,,776,media release,
ACT,27/11/2020,15:14,116,,119155,,0,0,0,112,media release,
NSW,27/11/2020,11:01,4375,,,3456460,,,,,media release,
VIC,27/11/2020,14:12,20345,,,3553932,,,,,media release,
ACT,28/11/2020,15:01,117,,119570,,,,,112,media release,
NSW,28/11/2020,20:00,4379,,,3466716,78,0,0,,media release,
SA,28/11/2020,17:00,561,,,718372,0,0,0,538,media release,
WA,28/11/2020,11:57,817,,,546698,,,,,media release,
NSW,29/11/2020,20:00,4388,,,3472822,75,0,0,,media release,
QLD,29/11/2020,12:00,1201,,,1351572,13,0,0,1181,media release,
NSW,30/11/2020,20:00,4393,,,3479457,75,0,0,,media release,
QLD,30/11/2020,12:00,1202,,,1353321,14,0,0,1184,media release,
VIC,30/11/2020,13:00,20345,820,,3574270,0,0,0,19525,media release,
WA,30/11/2020,15:00,818,,,553509,0,0,0,788,media release,
ACT,01/12/2020,14:02,117,,120584,,0,0,0,112,media release,
NSW,01/12/2020,20:00,4399,,,3492694,76,0,0,,media release,
SA,01/12/2020,,562,,,732562,,,,547,media release,
VIC,01/12/2020,15:52,20345,,,3581144,0,0,0,,media release,
WA,01/12/2020,17:00,821,,,555761,0,0,0,789,media release,
ACT,02/12/2020,15:46,117,,120996,,0,0,0,112,media release,
NSW,02/12/2020,20:00,4408,,,3506000,75,0,0,,media release,
VIC,02/12/2020,14:31,20345,,,3593321,,,,,media release,
WA,02/12/2020,14:37,823,,,558561,,,,795,media release,
NSW,03/12/2020,20:00,4414,,,3517128,77,,,,media release,
QLD,03/12/2020,10:54,1205,,,1361580,11,0,,1186,media release,
VIC,03/12/2020,15:17,20345,,,3603415,,,,,media release,
WA,03/12/2020,16:29,823,,,,,,,,media release,
ACT,04/12/2020,12:28,117,,121939,,,,,112,media release,
VIC,04/12/2020,15:42,20345,,,3612199,,,,,media release,
NSW,05/12/2020,11:00,4421,,,3538908,71,,,,media release,
VIC,05/12/2020,17:48,20345,,,3619869,,,,,media release,
NSW,06/12/2020,20:00,4425,,,3545134,72,,,,media release,
QLD,06/12/2020,12:00,1212,,,1373765,,,,,stats board,
VIC,06/12/2020,15:39,20345,,,3628246,,,,,media release,
NT,07/12/2020,08:30,60,,,73321,,,,47,stats board,
SA,07/12/2020,,562,,,754161,0,0,0,556,stats board,
WA,06/12/2020,20:40,830,,,563757,0,0,0,808,stats board,
VIC,07/12/2020,15:21,20345,,,3633158,,,,,media release,
WA,07/12/2020,15:00,830,,,571245,0,0,0,808,media release,
ACT,07/12/2020,13:50,117,,122652,,0,0,0,113,media release,
NSW,07/12/2020,20:00,4431,,,3551174,75,0,0,,media release,
VIC,08/12/2020,13:58,20345,,,3640201,0,0,0,,media release,
ACT,08/12/2020,15:02,117,,123236,,0,0,0,113,media release,
WA,08/12/2020,15:08,831,,,573766,,,,810,media release,
NSW,08/12/2020,20:00,4433,,,3565144,74,0,0,,media release,
VIC,09/12/2020,14:26,20345,,,3651779,0,0,0,,media release,
NSW,09/12/2020,20:00,4435,,,3579652,74,0,0,,media release,
ACT,10/12/2020,12:28,117,,124381,,0,0,0,114,media release,
VIC,10/12/2020,12:43,20345,,,3663404,,,,,media release,
WA,10/12/2020,13:54,832,,,579372,,,,811,media release,
NSW,10/12/2020,20:00,4444,,,3591274,,,,,media release,
VIC,11/12/2020,11:50,20345,,,3673164,,,,,media release,
ACT,11/12/2020,13:56,117,,124887,,,,,114,media release,
NSW,11/12/2020,20:00,4450,,,3610488,83,0,,,media release,
NSW,12/12/2020,20:00,4453,,,3610621,73,0,,,media release,
VIC,13/12/2020,,20351,,,3688134,,,,19525,media release,
NSW,13/12/2020,20:00,4456,,,3616794,70,1,0,,media release,
VIC,14/12/2020,11:10,20352,,,3693158,,,,,media release,
NSW,14/12/2020,20:00,4461,,,3622127,,,,,media release,
VIC,15/12/2020,12:53,20352,,,3701454,,,,19525,media release,
ACT,15/12/2020,12:30,117,,126242,,,,,114,media release,
WA,15/12/2020,15:00,838,,,589756,,,,821,media release,
VIC,16/12/2020,11:00,20352,,,3711165,,,,,media release,
NSW,16/12/2020,20:00,4477,,,3644632,69,0,0,,media release,
QLD,17/12/2020,12:00,1230,,,1404793,15,0,0,1209,media release,
WA,17/12/2020,15:12,843,,,594667,,,,,media release,
ACT,17/12/2020,12:42,117,,127091,,0,,,114,media release,
VIC,17/12/2020,13:00,20351,,,3720642,0,0,0,19524,media release,
SA,17/12/2020,17:00,563,,,776517,0,0,0,559,media release,
NSW,17/12/2020,20:00,4493,,,3652163,64,0,0,,media release,
VIC,18/12/2020,12:53,20352,,,3728212,,,,,,
ACT,18/12/2020,13:12,117,,127532,,,,,114,media release,
WA,18/12/2020,15:14,844,,,596371,,,,821,media release,
NSW,18/12/2020,20:00,4523,,,3664637,,,,,media release,
SA,19/12/2020,12:00,563,,,780732,,,,,,
VIC,19/12/2020,16:48,20354,,,,,,,,media release,
WA,19/12/2020,19:00,845,,,,,,,,media release,
NSW,19/12/2020,20:00,4559,,,3692747,,,,,press conference,
QLD,19/12/2020,12:00,1232,,,1411993,10,0,0,1214,statistics,
VIC,20/12/2020,18:43,20356,,,3747763,0,0,0,19524,statistics,
ACT,20/12/2020,17:55,118,,129051,,,,,114,media release,
NSW,20/12/2020,20:00,4582,,,3731325,80,0,0,,media release,
QLD,21/12/2020,12:00,1235,,,1421147,10,0,0,1214,media release,
WA,21/12/2020,14:40,846,,,606280,,,,826,media release,
VIC,21/12/2020,15:00,20357,,,3761458,,,,19524,media release,
NSW,21/12/2020,20:00,4600,,,3775791,93,0,0,,media release,
VIC,22/12/2020,16:43,20360,,,3776979,,,,,media release,
WA,22/12/2020,14:11,846,,,607678,,,,827,media release,
ACT,22/12/2020,13:39,118,,130809,,,,,114,media release,
NSW,22/12/2020,20:00,4616,,,3817656,104,0,0,,media release,
VIC,23/12/2020,14:25,20361,,,3799935,,,,,media release,
WA,23/12/2020,14:05,846,,,609886,,,,828,media release,
NSW,23/12/2020,20:00,4634,,,3877840,,,,,media release,
VIC,26/12/2020,12:00,20361,,,3835438,,,,19531,media release,
QLD,26/12/2020,12:00,1241,,,1460171,11,0,0,1217,media release,
NT,26/12/2020,12:00,74,,,79985,,,,63,media release,
SA,26/12/2020,13:00,569,,,809532,0,0,0,561,media release,
WA,26/12/2020,13:00,853,,,612889,,,,832,media release,
NSW,26/12/2020,20:00,4669,,,4010715,107,0,0,,media release,
WA,27/12/2020,17:00,855,,,,,,,832,media release,
NSW,27/12/2020,20:00,4683,56,,4026079,114,0,0,,media release,
QLD,28/12/2020,17:30,1246,,,1464891,9,0,0,1218,media release,
NSW,28/12/2020,20:00,4692,,,4042408,122,0,0,,media release,
QLD,29/12/2020,12:00,1248,,,1467304,11,0,0,1218,media release,
VIC,29/12/2020,12:00,20364,,,3854065,,,,19537,media release,
NT,29/12/2020,12:00,75,,,80987,,,,68,media release,
SA,29/12/2020,17:00,572,,,817431,,,,563,media release,
WA,29/12/2020,18:30,859,,,620875,,,,836,media release,
NSW,29/12/2020,20:00,4717,,,4059675,117,0,0,,media release,
NSW,30/12/2020,20:00,4734,,,4087569,121,0,0,,media release,
VIC,31/12/2020,12:00,20368,,,3875893,,,,19538,media release,
QLD,31/12/2020,12:00,1253,,,1477108,14,0,,1218,media release,
NT,31/12/2020,12:00,76,,,81826,,,,72,media release,
SA,31/12/2020,12:00,576,,,830746,1,,,565,media release,
WA,31/12/2020,18:00,861,,,626447,,,,838,media release,
NSW,31/12/2020,20:00,4739,,,4119579,122,,,,media release,
WA,01/01/2021,13:00,863,,,626447,,,,838,media release,
ACT,01/01/2021,15:03,118,,137398,,,,,114,media release,
VIC,01/01/2021,16:03,20376,,,3889001,,,,19538,media release,
QLD,01/01/2021,17:24,1253,,,,,,,,media release,
NSW,01/01/2021,20:00,4758,,,4151443,,,,,media release,
ACT,02/01/2021,14:09,118,,137936,,,,,114,media release,
WA,02/01/2021,15:24,866,,,626447,,,,838,media release,
VIC,02/01/2021,16:19,20388,,,3907338,,,,19538,media release,
NSW,02/01/2021,20:00,4769,,,4170366,125,,,,media release,
WA,03/01/2021,12:00,867,,,626447,,,,,media release,
VIC,03/01/2021,12:00,20391,,,3929815,,,,19539,media release,
QLD,03/01/2021,12:00,1255,,,1488315,13,0,0,1232,media release,
SA,03/01/2021,12:00,579,,,846789,0,0,0,566,media release,
NT,03/01/2021,12:00,82,,,83061,,,,70,media release,
NSW,03/01/2021,20:00,4776,,,4192641,115,0,0,,media release,
WA,04/01/2021,18:38,868,,,636386,,,,842,media release,
VIC,04/01/2021,16:23,20395,,,3962283,,,,19539,media release,
ACT,04/01/2021,14:59,118,,139489,,,,,114,media release,
NSW,04/01/2021,20:00,4784,,,4219032,,,,,media release,
ACT,05/01/2021,10:09,118,,140553,,,,,115,media release,
WA,05/01/2021,15:00,869,,,640205,,,,845,media release,
NSW,05/01/2021,20:00,4789,,,4251699,112,,,,media release,
VIC,06/01/2021,15:15,20402,,,4032336,,,,19541,media release,
ACT,06/01/2021,14:19,118,,141547,,0,0,0,115,media release,
WA,06/01/2021,16:22,872,,,644726,,,,845,media release,
NSW,06/01/2021,20:00,4795,,,4279578,114,0,0,,media release,
QLD,07/01/2021,12:00,1265,,,1542176,19,0,0,1234,media release,
VIC,07/01/2021,15:36,20402,,,4065103,,,,,media release,
WA,07/01/2021,16:30,874,,,648211,0,0,0,847,media release,
SA,07/01/2021,17:00,582,,,868956,0,0,0,568,media release,
NSW,07/01/2021,20:00,4806,,,4305690,115,0,0,,media release,
ACT,08/01/2021,14:03,118,,143449,,,,,115,media release,
VIC,08/01/2021,15:38,20403,,,4088211,,,,19544,media release,
WA,08/01/2021,17:32,874,,,650942,,,,847,media release,
NSW,08/01/2021,20:00,4812,,,4331336,,,,,media release,
VIC,09/01/2021,11:55,20404,,,4116496,,,,19544,media release,
ACT,09/01/2021,15:54,118,,144837,,0,0,0,115,media release,
WA,09/01/2021,16:24,875,,,,,,,849,media release,
NSW,09/01/2021,20:00,4818,,,4355099,109,0,0,,media release,
TAS,10/01/2021,18:00,232,,,149659,0,0,0,219,media release,
NSW,10/01/2021,20:00,4829,,,4373669,108,1,0,,media release,
QLD,11/01/2021,12:00,1278,,,1608113,24,0,0,1243,media release,
VIC,11/01/2021,12:00,20411,,,4158568,,,,19551,media release,
WA,11/01/2021,12:00,877,,,663760,,,,851,media release,
SA,11/01/2021,12:00,588,,,889156,0,0,0,569,media release,
NT,11/01/2021,12:00,91,,,87792,,,,72,media release,
NSW,11/01/2021,11:20,4845,,,4388407,118,1,0,,media release,
ACT,12/01/2021,14:19,118,,148542,,0,0,0,115,media release,
WA,12/01/2021,15:40,878,,670126,,,,,,media release,
VIC,12/01/2021,17:00,20411,,,4176707,,,,,media release,
NSW,12/01/2021,20:00,4852,,,4409071,131,1,1,,media release,
ACT,12/01/2021,13:42,118,,149387,,,,,115,media release,
VIC,13/01/2021,18:07,20414,,,4194615,,,,19559,media release,
NSW,13/01/2021,11:15,4854,,,4429508,119,1,1,,media release,
WA,14/01/2021,15:20,881,,,,,,,,,
VIC,14/01/2021,17:48,20414,,,4211148,,,,,media release,
NSW,14/01/2021,20:00,4856,,,4445578,,,,,media release,
ACT,15/01/2021,13:01,118,,150491,,0,0,0,115,media release,
NSW,15/01/2021,20:00,4868,,,4460152,,,,,media release,
VIC,16/01/2021,14:34,20417,,,4241115,,,,19571,media release,
WA,16/01/2021,14:49,886,,,,,,,862,media release,
NSW,16/01/2021,11:00,4877,,,4472916,100,1,0,,media release,
WA,17/01/2021,13:55,887,,,,,,,,media release,
NSW,17/01/2021,11:18,4885,,,4481689,97,1,0,,media release,
NSW,18/01/2021,20:00,4887,,,4492310,,,,,media release,
ACT,19/01/2021,11:25,118,,151998,,,,,115,media release,
VIC,19/01/2021,16:50,20421,,,4281685,,,,,media release,
WA,19/01/2021,16:00,888,,,697023,,,,865,media release,
NSW,19/01/2021,20:00,4890,,,4512269,99,0,0,,media release,
NT,20/01/2021,09:00,96,,,94394,,,,87,media release,
QLD,20/01/2021,12:00,1299,,,1701283,25,1,,1258,media release,
VIC,20/01/2021,12:00,20432,,,4301495,,,,19578,media release,
SA,20/01/2021,12:00,594,,,927680,0,,,584,media release,
WA,20/01/2021,18:26,888,,,701851,,,,,media release,
VIC,20/01/2021,19:50,20432,,,4301495,,,,19578,media release,
NSW,20/01/2021,20:00,4895,,,4524482,,,,,media release,
WA,21/01/2021,17:47,888,,,704968,,,,868,media release,
VIC,21/01/2021,19:23,20433,,,4321565,,,,19579,media release,
NSW,21/01/2021,20:00,4894,,,4541913,,,,,media release,
